id,neighbourhood_cleansed,latitude,longitude,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
3385880,Mission,37.76952227,-122.4228934,$250.00 ,"$1,178.00 ",,$100.00 ,$80.00 ,4,$25.00 
7596529,Mission,37.75123663,-122.4104629,$550.00 ,,,$500.00 ,$100.00 ,5,$50.00 
1223107,Mission,37.75862868,-122.4117893,$126.00 ,"$1,175.00 ","$3,800.00 ",$500.00 ,$48.00 ,1,$10.00 
5007820,Mission,37.76485673,-122.4251007,$341.00 ,"$3,500.00 ",,$200.00 ,$130.00 ,5,$0.00 
6433637,Mission,37.74961855,-122.4209382,$75.00 ,,,,,1,$0.00 
9857891,Mission,37.76867917,-122.4225395,$275.00 ,,,,$75.00 ,2,$30.00 
10660277,Mission,37.76740115,-122.4224661,$95.00 ,,,,$50.00 ,1,$25.00 
14969237,Mission,37.75186531,-122.4194602,$140.00 ,,,,$75.00 ,1,$0.00 
27028,Mission,37.76097556,-122.4215808,$199.00 ,"$9,999.00 ","$9,999.00 ",,$60.00 ,2,$75.00 
8595828,Mission,37.7615163,-122.4082127,$120.00 ,,,$250.00 ,$25.00 ,1,$0.00 
10513695,Mission,37.76215982,-122.420623,$200.00 ,,,,,1,$0.00 
16352294,Mission,37.75040546,-122.4110787,$250.00 ,,,$400.00 ,$40.00 ,2,$10.00 
5253439,Mission,37.75783386,-122.4130874,$33.00 ,,,,,1,$0.00 
3434710,Mission,37.75908236,-122.418195,$120.00 ,"$1,158.00 ","$4,350.00 ",$100.00 ,$100.00 ,2,$50.00 
8481021,Mission,37.75958899,-122.4218546,$250.00 ,,,,,1,$0.00 
9906403,Mission,37.7532297,-122.4248993,$300.00 ,"$2,000.00 ","$6,000.00 ","$1,000.00 ",$100.00 ,1,$0.00 
1468637,Mission,37.75121152,-122.4077631,$151.00 ,$750.00 ,"$2,500.00 ",,,1,$50.00 
14698527,Mission,37.76277859,-122.4240051,$119.00 ,,,,$35.00 ,1,$20.00 
14185529,Mission,37.7501035,-122.414981,$76.00 ,,,,$10.00 ,1,$0.00 
